region_id,year,bhi_employ_rate
BHI-001,2007,0.7404419448511597
BHI-001,2008,0.7411602648065992
BHI-001,2009,0.7153489663965071
BHI-001,2010,0.7210678511515554
BHI-001,2011,0.7348126581206464
BHI-001,2012,0.737153884202399
BHI-001,2013,0.7408110573739992
BHI-001,2014,0.7487772486632308
BHI-001,2015,0.7586021987127217
BHI-001,2016,0.7611489895534902
BHI-001,2017,0.7679263189601595
BHI-001,2018,0.7734115192402924
BHI-001,2019,0.774804712763477
BHI-001,2020,0.7541312771624761
BHI-002,2007,0.7716128063783578
BHI-002,2008,0.7688105504081415
BHI-002,2009,0.742311507235304
BHI-002,2010,0.7248629282074668
BHI-002,2011,0.7182316898817935
BHI-002,2012,0.7133086225293679
BHI-002,2013,0.71404688478446
BHI-002,2014,0.7180793483044645
BHI-002,2015,0.7246877855214942
BHI-002,2016,0.7342069136355576
BHI-002,2017,0.7381844549993096
BHI-002,2018,0.7453762348100053
BHI-002,2019,0.7539654396309031
BHI-002,2020,0.7478123853942773
BHI-003,2007,0.7666193250555694
BHI-003,2008,0.7524806932652888
BHI-003,2009,0.7230497710560767
BHI-003,2010,0.7066810722558394
BHI-003,2011,0.7111041465275255
BHI-003,2012,0.7036774819698587
BHI-003,2013,0.6952173013512472
BHI-003,2014,0.6988603407048829
BHI-003,2015,0.709964218069241
BHI-003,2016,0.7117205712716776
BHI-003,2017,0.7209055682439687
BHI-003,2018,0.731575247057336
BHI-003,2019,0.7406068016323964
BHI-003,2020,0.7346595968183347
BHI-005,2007,0.723
BHI-005,2008,0.731
BHI-005,2009,0.711
BHI-005,2010,0.716
BHI-005,2011,0.716
BHI-005,2012,0.7140000000000001
BHI-005,2013,0.722
BHI-005,2014,0.722
BHI-005,2015,0.7340000000000001
BHI-005,2016,0.738
BHI-005,2017,0.7390000000000001
BHI-005,2018,0.738
BHI-005,2019,0.73
BHI-005,2020,0.718
BHI-006,2007,0.7809999999999999
BHI-006,2008,0.7759999999999999
BHI-006,2009,0.7490000000000001
BHI-006,2010,0.7340000000000001
BHI-006,2011,0.728
BHI-006,2012,0.725
BHI-006,2013,0.727
BHI-006,2014,0.728
BHI-006,2015,0.738
