region_id,helcom_id,month,year,chla_conc
BHI-010,GER-004,6,1995,0.67
BHI-026,SEA-010,6,1995,5.95
BHI-026,SEA-010,6,1995,4.175
BHI-029,SEA-012,6,1995,1.975
BHI-031,SEA-012,6,1995,3
BHI-032,FIN-004,6,1995,12.6
BHI-041,SWE-022,6,1995,2.3
BHI-041,SWE-022,6,1995,2.3
BHI-041,SWE-022,6,1995,2.3
BHI-002,DEN-008,6,1995,3.95
BHI-002,DEN-092,6,1995,2.2
BHI-026,SEA-010,6,1995,5.95
BHI-026,SEA-010,6,1995,4.3999999999999995
BHI-029,SEA-012,6,1995,1.975
BHI-031,SEA-012,6,1995,3.1
BHI-032,FIN-004,6,1995,12.6
BHI-001,SEA-001,6,1995,1.675
BHI-001,SEA-001,6,1995,2.4333333333333336
BHI-001,SEA-001,6,1995,1.675
BHI-001,SEA-001,6,1995,2.4333333333333336
BHI-029,SWE-011,6,1995,3.3
BHI-029,SWE-011,6,1995,3.5
BHI-032,FIN-002,6,1995,6.6
BHI-042,FIN-010,6,1995,4.4
BHI-042,FIN-011,6,1995,3.15
BHI-042,FIN-011,6,1995,2.2
BHI-032,FIN-002,6,1995,6.6
BHI-042,FIN-010,6,1995,4.4
BHI-042,FIN-011,6,1995,3.15
BHI-042,FIN-011,6,1995,2.2
BHI-014,SWE-008,6,1995,1.3
BHI-014,SWE-007,6,1995,1.1
BHI-001,SEA-001,6,1995,1.5666666666666667
BHI-001,SWE-003,6,1995,1.7333333333333334
BHI-001,SWE-003,6,1995,1.55
BHI-001,SWE-001,6,1995,1.8333333333333333
BHI-001,SWE-001,6,1995,2.35
BHI-001,SWE-003,6,1995,1.95
BHI-001,SWE-001,6,1995,2.3
BHI-001,SWE-025,6,1995,4.3999999999999995
BHI-026,SEA-010,6,1995,5.616666666666667
BHI-029,SWE-011,6,1995,2
BHI-029,SWE-024,6,1995,8.6
BHI-029,SWE-011,6,1995,5
BHI-029,SWE-011,6,1995,4.7
BHI-037,SWE-016,6,1995,15
BHI-037,SWE-016,6,1995,9.1
BHI-037,SWE-016,6,1995,7.3
BHI-037,SWE-016,6,1995,9.1
BHI-037,SWE-016,6,1995,5.8
BHI-037,SWE-017,6,1995,3.8
BHI-037,SWE-017,6,1995,4.5
BHI-037,SWE-017,6,1995,5.3
BHI-037,SWE-017,6,1995,2.7
BHI-040,FIN-007,6,1995,5.6
BHI-003,DEN-065,6,1995,2.55
BHI-003,GER-021,6,1995,2.55
