region_id,sector,year,annual_growth_rate
BHI-012,marine_living_resources,2010,16.124031007751938
BHI-009,marine_living_resources,2010,16.124031007751938
BHI-015,marine_living_resources,2010,16.124031007751938
BHI-003,marine_living_resources,2010,16.124031007751938
BHI-002,marine_living_resources,2010,16.124031007751938
BHI-007,marine_living_resources,2010,16.124031007751938
BHI-006,marine_living_resources,2010,16.124031007751938
BHI-012,marine_nonliving_resources,2010,18.34249803613511
BHI-009,marine_nonliving_resources,2010,18.34249803613511
BHI-015,marine_nonliving_resources,2010,18.34249803613511
BHI-003,marine_nonliving_resources,2010,18.34249803613511
BHI-002,marine_nonliving_resources,2010,18.34249803613511
BHI-007,marine_nonliving_resources,2010,18.34249803613511
BHI-006,marine_nonliving_resources,2010,18.34249803613511
BHI-012,marine_renewable_energy,2010,163.1578947368421
BHI-009,marine_renewable_energy,2010,163.1578947368421
BHI-015,marine_renewable_energy,2010,163.1578947368421
BHI-003,marine_renewable_energy,2010,163.1578947368421
BHI-002,marine_renewable_energy,2010,163.1578947368421
BHI-007,marine_renewable_energy,2010,163.1578947368421
BHI-006,marine_renewable_energy,2010,163.1578947368421
BHI-012,port_activities,2010,-1.282051282051282
BHI-009,port_activities,2010,-1.282051282051282
BHI-015,port_activities,2010,-1.282051282051282
BHI-003,port_activities,2010,-1.282051282051282
BHI-002,port_activities,2010,-1.282051282051282
BHI-007,port_activities,2010,-1.282051282051282
BHI-006,port_activities,2010,-1.282051282051282
BHI-012,shipbuilding_and_repair,2010,-7.508532423208192
BHI-009,shipbuilding_and_repair,2010,-7.508532423208192
BHI-015,shipbuilding_and_repair,2010,-7.508532423208192
BHI-003,shipbuilding_and_repair,2010,-7.508532423208192
BHI-002,shipbuilding_and_repair,2010,-7.508532423208192
BHI-007,shipbuilding_and_repair,2010,-7.508532423208192
BHI-006,shipbuilding_and_repair,2010,-7.508532423208192
BHI-012,maritime_transport,2010,2.3817863397548162
BHI-009,maritime_transport,2010,2.3817863397548162
BHI-015,maritime_transport,2010,2.3817863397548162
BHI-003,maritime_transport,2010,2.3817863397548162
BHI-002,maritime_transport,2010,2.3817863397548162
BHI-007,maritime_transport,2010,2.3817863397548162
BHI-006,maritime_transport,2010,2.3817863397548162
BHI-012,coastal_tourism,2010,35.241502683363144
BHI-009,coastal_tourism,2010,35.241502683363144
BHI-015,coastal_tourism,2010,35.241502683363144
